ID	pLDDT_mean	pTM	ipTM	ranking_score	model_cif
WWF01416	0.9	0.9	0.9	0.903	structures/output/WWF01416/WWF01416_model.cif
WWF01417	0.79	0.82	0.82	0.884	structures/output/WWF01417/WWF01417_model.cif
WWF01420	0.81	0.8	0.8	0.883	structures/output/WWF01420/WWF01420_model.cif
WWF01422	0.84	0.76	0.76	0.818	structures/output/WWF01422/WWF01422_model.cif
WWF01427	0.85	0.8	0.8	0.883	structures/output/WWF01427/WWF01427_model.cif
WWF01428	0.79	0.8	0.8	0.888	structures/output/WWF01428/WWF01428_model.cif
WWF01430	0.9	0.9	0.9	0.933	structures/output/WWF01430/WWF01430_model.cif
WWF01431	0.88	0.86	0.86	0.893	structures/output/WWF01431/WWF01431_model.cif
WWF01432	0.87	0.84	0.84	0.898	structures/output/WWF01432/WWF01432_model.cif
WWF01439	0.78	0.67	0.67	0.73	structures/output/WWF01439/WWF01439_model.cif
WWF01443	0.91	0.83	0.83	0.902	structures/output/WWF01443/WWF01443_model.cif
WWF01444	0.84	0.87	0.87	0.9	structures/output/WWF01444/WWF01444_model.cif
WWF01446	0.73	0.65	0.65	0.844	structures/output/WWF01446/WWF01446_model.cif
WWF01455	0.74	0.44	0.44	0.82	structures/output/WWF01455/WWF01455_model.cif
WWF01458	0.8	0.75	0.75	0.853	structures/output/WWF01458/WWF01458_model.cif
WWF01460	0.87	0.88	0.88	0.883	structures/output/WWF01460/WWF01460_model.cif
WWF01464	0.87	0.81	0.81	0.882	structures/output/WWF01464/WWF01464_model.cif
WWF01469	0.83	0.6	0.6	0.918	structures/output/WWF01469/WWF01469_model.cif
WWF01477	0.79	0.66	0.66	0.785	structures/output/WWF01477/WWF01477_model.cif
WWF01481	0.81	0.77	0.77	0.828	structures/output/WWF01481/WWF01481_model.cif
WWF01483	0.68	0.64	0.64	0.705	structures/output/WWF01483/WWF01483_model.cif
WWF01484	0.91	0.92	0.92	0.942	structures/output/WWF01484/WWF01484_model.cif
WWF01490	0.8	0.61	0.61	0.677	structures/output/WWF01490/WWF01490_model.cif
WWF01491	0.82	0.83	0.83	0.882	structures/output/WWF01491/WWF01491_model.cif
WWF01497	0.86	0.86	0.86	0.883	structures/output/WWF01497/WWF01497_model.cif
WWF01501	0.93	0.91	0.91	0.938	structures/output/WWF01501/WWF01501_model.cif
WWF01506	0.88	0.88	0.88	0.919	structures/output/WWF01506/WWF01506_model.cif
WWF01507	0.84	0.89	0.89	0.905	structures/output/WWF01507/WWF01507_model.cif
WWF01508	0.88	0.87	0.87	0.924	structures/output/WWF01508/WWF01508_model.cif
WWF01509	0.84	0.85	0.85	0.912	structures/output/WWF01509/WWF01509_model.cif
WWF01510	0.86	0.88	0.88	0.882	structures/output/WWF01510/WWF01510_model.cif
WWF01511	0.83	0.85	0.85	0.907	structures/output/WWF01511/WWF01511_model.cif
WWF01519	0.84	0.78	0.78	0.821	structures/output/WWF01519/WWF01519_model.cif
WWF01523	0.85	0.86	0.86	0.917	structures/output/WWF01523/WWF01523_model.cif
WWF01525	0.8	0.78	0.78	0.863	structures/output/WWF01525/WWF01525_model.cif
WWF01527	0.84	0.82	0.82	0.897	structures/output/WWF01527/WWF01527_model.cif
WWF01534	0.84	0.87	0.87	0.912	structures/output/WWF01534/WWF01534_model.cif
WWF01539	0.84	0.85	0.85	0.882	structures/output/WWF01539/WWF01539_model.cif
WWF01545	0.78	0.69	0.69	0.761	structures/output/WWF01545/WWF01545_model.cif
WWF01551	0.81	0.84	0.84	0.895	structures/output/WWF01551/WWF01551_model.cif
WWF01552	0.86	0.87	0.87	0.92	structures/output/WWF01552/WWF01552_model.cif
WWF01553	0.85	0.8	0.8	0.88	structures/output/WWF01553/WWF01553_model.cif
WWF01556	0.82	0.84	0.84	0.891	structures/output/WWF01556/WWF01556_model.cif
WWF01559	0.76	0.73	0.73	0.774	structures/output/WWF01559/WWF01559_model.cif
WWF01560	0.8	0.7	0.7	0.745	structures/output/WWF01560/WWF01560_model.cif
WWF01565	0.88	0.88	0.88	0.889	structures/output/WWF01565/WWF01565_model.cif
WWF01574	0.86	0.85	0.85	0.918	structures/output/WWF01574/WWF01574_model.cif
WWF01576	0.86	0.89	0.89	0.91	structures/output/WWF01576/WWF01576_model.cif
WWF01577	0.81	0.78	0.78	0.873	structures/output/WWF01577/WWF01577_model.cif
WWF01590	0.81	0.82	0.82	0.887	structures/output/WWF01590/WWF01590_model.cif
WWF01595	0.88	0.87	0.87	0.917	structures/output/WWF01595/WWF01595_model.cif
WWF01598	0.75	0.72	0.72	0.779	structures/output/WWF01598/WWF01598_model.cif
WWF01602	0.89	0.9	0.9	0.934	structures/output/WWF01602/WWF01602_model.cif
WWF01608	0.86	0.77	0.77	0.865	structures/output/WWF01608/WWF01608_model.cif
WWF01611	0.79	0.72	0.72	0.808	structures/output/WWF01611/WWF01611_model.cif
WWF01612	0.83	0.82	0.82	0.926	structures/output/WWF01612/WWF01612_model.cif
WWF01614	0.83	0.78	0.78	0.829	structures/output/WWF01614/WWF01614_model.cif
WWF01615	0.91	0.89	0.89	0.885	structures/output/WWF01615/WWF01615_model.cif
WWF01617	0.86	0.86	0.86	0.912	structures/output/WWF01617/WWF01617_model.cif
WWF01622	0.7	0.6	0.6	0.679	structures/output/WWF01622/WWF01622_model.cif
WWF01635	0.84	0.83	0.83	0.881	structures/output/WWF01635/WWF01635_model.cif
WWF01636	0.88	0.85	0.85	0.902	structures/output/WWF01636/WWF01636_model.cif
WWF01639	0.82	0.81	0.81	0.885	structures/output/WWF01639/WWF01639_model.cif
WWF01650	0.82	0.85	0.85	0.914	structures/output/WWF01650/WWF01650_model.cif
WWF01651	0.86	0.81	0.81	0.876	structures/output/WWF01651/WWF01651_model.cif
WWF01652	0.9	0.92	0.92	0.959	structures/output/WWF01652/WWF01652_model.cif
WWF01656	0.92	0.89	0.89	0.944	structures/output/WWF01656/WWF01656_model.cif
WWF01664	0.76	0.67	0.67	0.78	structures/output/WWF01664/WWF01664_model.cif
WWF01669	0.85	0.86	0.86	0.909	structures/output/WWF01669/WWF01669_model.cif
WWF01672	0.85	0.85	0.85	0.884	structures/output/WWF01672/WWF01672_model.cif
WWF01674	0.88	0.87	0.87	0.914	structures/output/WWF01674/WWF01674_model.cif
WWF01678	0.82	0.58	0.58	0.624	structures/output/WWF01678/WWF01678_model.cif
WWF01680	0.84	0.79	0.79	0.828	structures/output/WWF01680/WWF01680_model.cif
WWF01682	0.87	0.86	0.86	0.916	structures/output/WWF01682/WWF01682_model.cif
WWF01684	0.81	0.56	0.56	0.588	structures/output/WWF01684/WWF01684_model.cif
WWF01685	0.83	0.86	0.86	0.895	structures/output/WWF01685/WWF01685_model.cif
WWF01687	0.8	0.78	0.78	0.891	structures/output/WWF01687/WWF01687_model.cif
WWF01718	0.87	0.87	0.87	0.921	structures/output/WWF01718/WWF01718_model.cif
WWF01719	0.83	0.75	0.75	0.819	structures/output/WWF01719/WWF01719_model.cif
WWF01723	0.78	0.66	0.66	0.769	structures/output/WWF01723/WWF01723_model.cif
WWF01733	0.89	0.9	0.9	0.946	structures/output/WWF01733/WWF01733_model.cif
WWF01740	0.89	0.87	0.87	0.903	structures/output/WWF01740/WWF01740_model.cif
WWF01743	0.79	0.67	0.67	0.842	structures/output/WWF01743/WWF01743_model.cif
WWF01746	0.85	0.87	0.87	0.894	structures/output/WWF01746/WWF01746_model.cif
WWF01747	0.82	0.55	0.55	0.7	structures/output/WWF01747/WWF01747_model.cif
WWF01750	0.84	0.81	0.81	0.868	structures/output/WWF01750/WWF01750_model.cif
WWF01751	0.89	0.87	0.87	0.901	structures/output/WWF01751/WWF01751_model.cif
WWF01757	0.85	0.77	0.77	0.821	structures/output/WWF01757/WWF01757_model.cif
WWF01759	0.88	0.87	0.87	0.921	structures/output/WWF01759/WWF01759_model.cif
WWF01762	0.88	0.84	0.84	0.864	structures/output/WWF01762/WWF01762_model.cif
WWF01766	0.83	0.74	0.74	0.79	structures/output/WWF01766/WWF01766_model.cif
WWF01774	0.81	0.78	0.78	0.833	structures/output/WWF01774/WWF01774_model.cif
WWF01776	0.86	0.84	0.84	0.871	structures/output/WWF01776/WWF01776_model.cif
WWF01781	0.75	0.51	0.51	0.634	structures/output/WWF01781/WWF01781_model.cif
WWF01784	0.85	0.73	0.73	0.741	structures/output/WWF01784/WWF01784_model.cif
WWF01795	0.86	0.87	0.87	0.912	structures/output/WWF01795/WWF01795_model.cif
WWF01798	0.88	0.83	0.83	0.893	structures/output/WWF01798/WWF01798_model.cif
WWF01799	0.89	0.88	0.88	0.929	structures/output/WWF01799/WWF01799_model.cif
WWF01804	0.83	0.68	0.68	0.721	structures/output/WWF01804/WWF01804_model.cif
WWF01814	0.81	0.77	0.77	0.885	structures/output/WWF01814/WWF01814_model.cif
WWF01816	0.94	0.95	0.95	0.948	structures/output/WWF01816/WWF01816_model.cif
WWF01819	0.8	0.68	0.68	0.745	structures/output/WWF01819/WWF01819_model.cif
WWF01824	0.77	0.75	0.75	0.814	structures/output/WWF01824/WWF01824_model.cif
WWF01831	0.83	0.84	0.84	0.899	structures/output/WWF01831/WWF01831_model.cif
WWF01837	0.78	0.82	0.82	0.872	structures/output/WWF01837/WWF01837_model.cif
WWF01839	0.87	0.78	0.78	0.783	structures/output/WWF01839/WWF01839_model.cif
WWF01840	0.81	0.83	0.83	0.92	structures/output/WWF01840/WWF01840_model.cif
WWF01841	0.74	0.51	0.51	0.76	structures/output/WWF01841/WWF01841_model.cif
WWF01843	0.84	0.83	0.83	0.852	structures/output/WWF01843/WWF01843_model.cif
WWF01850	0.78	0.82	0.82	0.837	structures/output/WWF01850/WWF01850_model.cif
WWF01853	0.88	0.83	0.83	0.909	structures/output/WWF01853/WWF01853_model.cif
WWF01858	0.78	0.69	0.69	0.808	structures/output/WWF01858/WWF01858_model.cif
WWF01859	0.89	0.88	0.88	0.883	structures/output/WWF01859/WWF01859_model.cif
WWF01870	0.82	0.78	0.78	0.867	structures/output/WWF01870/WWF01870_model.cif
WWF01871	0.85	0.84	0.84	0.917	structures/output/WWF01871/WWF01871_model.cif
WWF01874	0.87	0.85	0.85	0.899	structures/output/WWF01874/WWF01874_model.cif
WWF01882	0.7	0.52	0.52	0.697	structures/output/WWF01882/WWF01882_model.cif
WWF01884	0.82	0.64	0.64	0.667	structures/output/WWF01884/WWF01884_model.cif
WWF01886	0.82	0.68	0.68	0.893	structures/output/WWF01886/WWF01886_model.cif
WWF01890	0.85	0.85	0.85	0.901	structures/output/WWF01890/WWF01890_model.cif
WWF01893	0.81	0.82	0.82	0.908	structures/output/WWF01893/WWF01893_model.cif
WWF01899	0.77	0.73	0.73	0.753	structures/output/WWF01899/WWF01899_model.cif
WWF01901	0.77	0.79	0.79	0.873	structures/output/WWF01901/WWF01901_model.cif
WWF01903	0.78	0.63	0.63	0.694	structures/output/WWF01903/WWF01903_model.cif
WWF01909	0.75	0.77	0.77	0.848	structures/output/WWF01909/WWF01909_model.cif
WWF01914	0.84	0.85	0.85	0.913	structures/output/WWF01914/WWF01914_model.cif
WWF01917	0.72	0.58	0.58	0.641	structures/output/WWF01917/WWF01917_model.cif
WWF01918	0.87	0.86	0.86	0.912	structures/output/WWF01918/WWF01918_model.cif
WWF01919	0.83	0.85	0.85	0.91	structures/output/WWF01919/WWF01919_model.cif
WWF01920	0.87	0.84	0.84	0.902	structures/output/WWF01920/WWF01920_model.cif
WWF01922	0.78	0.8	0.8	0.867	structures/output/WWF01922/WWF01922_model.cif
WWF01925	0.87	0.86	0.86	0.905	structures/output/WWF01925/WWF01925_model.cif
WWF01926	0.92	0.92	0.92	0.949	structures/output/WWF01926/WWF01926_model.cif
WWF01927	0.86	0.84	0.84	0.921	structures/output/WWF01927/WWF01927_model.cif
WWF01932	0.7	0.69	0.69	0.772	structures/output/WWF01932/WWF01932_model.cif
WWF01938	0.81	0.87	0.87	0.919	structures/output/WWF01938/WWF01938_model.cif
WWF01939	0.88	0.85	0.85	0.884	structures/output/WWF01939/WWF01939_model.cif
WWF01941	0.83	0.77	0.77	0.839	structures/output/WWF01941/WWF01941_model.cif
WWF01944	0.78	0.79	0.79	0.868	structures/output/WWF01944/WWF01944_model.cif
WWF01945	0.76	0.59	0.59	0.668	structures/output/WWF01945/WWF01945_model.cif
WWF01949	0.88	0.89	0.89	0.921	structures/output/WWF01949/WWF01949_model.cif
WWF01951	0.81	0.72	0.72	0.89	structures/output/WWF01951/WWF01951_model.cif
WWF01954	0.83	0.81	0.81	0.914	structures/output/WWF01954/WWF01954_model.cif
WWF01964	0.88	0.91	0.91	0.93	structures/output/WWF01964/WWF01964_model.cif
WWF01965	0.79	0.55	0.55	0.613	structures/output/WWF01965/WWF01965_model.cif
WWF01976	0.75	0.77	0.77	0.838	structures/output/WWF01976/WWF01976_model.cif
WWF01982	0.8	0.68	0.68	0.726	structures/output/WWF01982/WWF01982_model.cif
WWF02041	0.83	0.72	0.72	0.808	structures/output/WWF02041/WWF02041_model.cif
WWF02057	0.87	0.84	0.84	0.886	structures/output/WWF02057/WWF02057_model.cif
WWF02061	0.86	0.86	0.86	0.9	structures/output/WWF02061/WWF02061_model.cif
WWF02064	0.76	0.66	0.66	0.788	structures/output/WWF02064/WWF02064_model.cif
WWF02067	0.87	0.88	0.88	0.906	structures/output/WWF02067/WWF02067_model.cif
WWF02079	0.91	0.86	0.86	0.93	structures/output/WWF02079/WWF02079_model.cif
WWF02082	0.83	0.57	0.57	0.58	structures/output/WWF02082/WWF02082_model.cif
WWF02096	0.83	0.82	0.82	0.842	structures/output/WWF02096/WWF02096_model.cif
WWF02098	0.92	0.88	0.88	0.927	structures/output/WWF02098/WWF02098_model.cif
WWF02182	0.83	0.81	0.81	0.906	structures/output/WWF02182/WWF02182_model.cif
WWF02200	0.88	0.86	0.86	0.872	structures/output/WWF02200/WWF02200_model.cif
WWF02203	0.57	0.37	0.37	0.59	structures/output/WWF02203/WWF02203_model.cif
WWF02209	0.85	0.84	0.84	0.897	structures/output/WWF02209/WWF02209_model.cif
WWF02223	0.87	0.88	0.88	0.925	structures/output/WWF02223/WWF02223_model.cif
WWF02227	0.8	0.81	0.81	0.938	structures/output/WWF02227/WWF02227_model.cif
WWF02229	0.8	0.82	0.82	0.845	structures/output/WWF02229/WWF02229_model.cif
WWF02239	0.75	0.72	0.72	0.792	structures/output/WWF02239/WWF02239_model.cif
WWF02242	0.84	0.84	0.84	0.855	structures/output/WWF02242/WWF02242_model.cif
WWF02246	0.75	0.72	0.72	0.806	structures/output/WWF02246/WWF02246_model.cif
WWF02247	0.88	0.84	0.84	0.93	structures/output/WWF02247/WWF02247_model.cif
WWF02249	0.91	0.92	0.92	0.957	structures/output/WWF02249/WWF02249_model.cif
WWF02253	0.77	0.74	0.74	0.832	structures/output/WWF02253/WWF02253_model.cif
WWF02259	0.79	0.72	0.72	0.765	structures/output/WWF02259/WWF02259_model.cif
WWF02266	0.76	0.78	0.78	0.848	structures/output/WWF02266/WWF02266_model.cif
WWF02268	0.83	0.85	0.85	0.915	structures/output/WWF02268/WWF02268_model.cif
WWF02273	0.77	0.74	0.74	0.857	structures/output/WWF02273/WWF02273_model.cif
WWF02282	0.85	0.82	0.82	0.845	structures/output/WWF02282/WWF02282_model.cif
WWF02286	0.88	0.88	0.88	0.928	structures/output/WWF02286/WWF02286_model.cif
WWF02289	0.88	0.87	0.87	0.916	structures/output/WWF02289/WWF02289_model.cif
WWF02301	0.82	0.86	0.86	0.895	structures/output/WWF02301/WWF02301_model.cif
WWF02309	0.87	0.69	0.69	0.794	structures/output/WWF02309/WWF02309_model.cif
WWF02310	0.8	0.82	0.82	0.899	structures/output/WWF02310/WWF02310_model.cif
WWF02312	0.82	0.81	0.81	0.875	structures/output/WWF02312/WWF02312_model.cif
WWF02313	0.91	0.92	0.92	0.952	structures/output/WWF02313/WWF02313_model.cif
WWF02327	0.8	0.65	0.65	0.733	structures/output/WWF02327/WWF02327_model.cif
WWF02328	0.89	0.9	0.9	0.943	structures/output/WWF02328/WWF02328_model.cif
WWF02329	0.78	0.86	0.86	0.884	structures/output/WWF02329/WWF02329_model.cif
WWF02330	0.87	0.88	0.88	0.929	structures/output/WWF02330/WWF02330_model.cif
WWF02332	0.89	0.9	0.9	0.922	structures/output/WWF02332/WWF02332_model.cif
WWF02333	0.84	0.83	0.83	0.918	structures/output/WWF02333/WWF02333_model.cif
WWF02334	0.82	0.83	0.83	0.895	structures/output/WWF02334/WWF02334_model.cif
WWF02335	0.84	0.85	0.85	0.904	structures/output/WWF02335/WWF02335_model.cif
WWF02336	0.87	0.88	0.88	0.916	structures/output/WWF02336/WWF02336_model.cif
WWF02337	0.9	0.9	0.9	0.932	structures/output/WWF02337/WWF02337_model.cif
WWF02339	0.77	0.77	0.77	0.774	structures/output/WWF02339/WWF02339_model.cif
WWF02340	0.83	0.85	0.85	0.906	structures/output/WWF02340/WWF02340_model.cif
WWF02343	0.89	0.91	0.91	0.929	structures/output/WWF02343/WWF02343_model.cif
WWF02346	0.88	0.88	0.88	0.899	structures/output/WWF02346/WWF02346_model.cif
WWF02347	0.89	0.89	0.89	0.924	structures/output/WWF02347/WWF02347_model.cif
WWF02348	0.76	0.58	0.58	0.614	structures/output/WWF02348/WWF02348_model.cif
WWF02350	0.81	0.77	0.77	0.867	structures/output/WWF02350/WWF02350_model.cif
WWF02353	0.81	0.81	0.81	0.841	structures/output/WWF02353/WWF02353_model.cif
WWF02354	0.82	0.86	0.86	0.869	structures/output/WWF02354/WWF02354_model.cif
WWF02362	0.76	0.71	0.71	0.773	structures/output/WWF02362/WWF02362_model.cif
WWF02365	0.82	0.82	0.82	0.879	structures/output/WWF02365/WWF02365_model.cif
WWF02376	0.91	0.89	0.89	0.914	structures/output/WWF02376/WWF02376_model.cif
WWF02391	0.77	0.77	0.77	0.859	structures/output/WWF02391/WWF02391_model.cif
WWF02399	0.87	0.85	0.85	0.914	structures/output/WWF02399/WWF02399_model.cif
WWF02409	0.87	0.84	0.84	0.902	structures/output/WWF02409/WWF02409_model.cif
WWF02413	0.83	0.83	0.83	0.905	structures/output/WWF02413/WWF02413_model.cif
WWF02420	0.84	0.85	0.85	0.909	structures/output/WWF02420/WWF02420_model.cif
WWF02421	0.8	0.78	0.78	0.878	structures/output/WWF02421/WWF02421_model.cif
WWF02426	0.81	0.75	0.75	0.751	structures/output/WWF02426/WWF02426_model.cif
WWF02436	0.84	0.81	0.81	0.897	structures/output/WWF02436/WWF02436_model.cif
WWF02439	0.82	0.82	0.82	0.875	structures/output/WWF02439/WWF02439_model.cif
WWF02440	0.82	0.82	0.82	0.881	structures/output/WWF02440/WWF02440_model.cif
WWF02447	0.81	0.8	0.8	0.869	structures/output/WWF02447/WWF02447_model.cif
WWF02450	0.77	0.53	0.53	0.615	structures/output/WWF02450/WWF02450_model.cif
WWF02457	0.9	0.72	0.72	0.82	structures/output/WWF02457/WWF02457_model.cif
WWF02470	0.81	0.8	0.8	0.886	structures/output/WWF02470/WWF02470_model.cif
WWF02474	0.93	0.92	0.92	0.921	structures/output/WWF02474/WWF02474_model.cif
WWF02475	0.9	0.9	0.9	0.929	structures/output/WWF02475/WWF02475_model.cif
WWF02484	0.87	0.85	0.85	0.912	structures/output/WWF02484/WWF02484_model.cif
WWF02491	0.57	0.25	0.25	0.754	structures/output/WWF02491/WWF02491_model.cif
WWF02502	0.9	0.88	0.88	0.935	structures/output/WWF02502/WWF02502_model.cif
WWF02504	0.84	0.74	0.74	0.805	structures/output/WWF02504/WWF02504_model.cif
WWF02507	0.85	0.86	0.86	0.895	structures/output/WWF02507/WWF02507_model.cif
WWF02509	0.82	0.81	0.81	0.896	structures/output/WWF02509/WWF02509_model.cif
WWF02511	0.85	0.87	0.87	0.908	structures/output/WWF02511/WWF02511_model.cif
WWF02512	0.87	0.88	0.88	0.934	structures/output/WWF02512/WWF02512_model.cif
WWF02515	0.88	0.88	0.88	0.908	structures/output/WWF02515/WWF02515_model.cif
WWF02518	0.86	0.86	0.86	0.912	structures/output/WWF02518/WWF02518_model.cif
WWF02521	0.89	0.92	0.92	0.919	structures/output/WWF02521/WWF02521_model.cif
WWF02523	0.89	0.89	0.89	0.896	structures/output/WWF02523/WWF02523_model.cif
WWF02525	0.81	0.68	0.68	0.7	structures/output/WWF02525/WWF02525_model.cif
WWF02527	0.85	0.84	0.84	0.884	structures/output/WWF02527/WWF02527_model.cif
WWF02528	0.83	0.87	0.87	0.872	structures/output/WWF02528/WWF02528_model.cif
WWF02529	0.81	0.83	0.83	0.868	structures/output/WWF02529/WWF02529_model.cif
WWF02531	0.89	0.93	0.93	0.946	structures/output/WWF02531/WWF02531_model.cif
WWF02532	0.83	0.71	0.71	0.729	structures/output/WWF02532/WWF02532_model.cif
WWF02537	0.9	0.88	0.88	0.933	structures/output/WWF02537/WWF02537_model.cif
WWF02539	0.83	0.83	0.83	0.896	structures/output/WWF02539/WWF02539_model.cif
WWF02540	0.87	0.85	0.85	0.916	structures/output/WWF02540/WWF02540_model.cif
WWF02550	0.85	0.86	0.86	0.914	structures/output/WWF02550/WWF02550_model.cif
WWF02555	0.83	0.76	0.76	0.817	structures/output/WWF02555/WWF02555_model.cif
WWF02556	0.88	0.89	0.89	0.892	structures/output/WWF02556/WWF02556_model.cif
WWF02561	0.85	0.88	0.88	0.944	structures/output/WWF02561/WWF02561_model.cif
WWF02563	0.87	0.89	0.89	0.92	structures/output/WWF02563/WWF02563_model.cif
WWF02565	0.78	0.83	0.83	0.91	structures/output/WWF02565/WWF02565_model.cif
WWF02566	0.85	0.82	0.82	0.898	structures/output/WWF02566/WWF02566_model.cif
WWF02573	0.89	0.87	0.87	0.936	structures/output/WWF02573/WWF02573_model.cif
WWF02574	0.86	0.88	0.88	0.918	structures/output/WWF02574/WWF02574_model.cif
WWF02575	0.85	0.83	0.83	0.866	structures/output/WWF02575/WWF02575_model.cif
WWF02580	0.9	0.91	0.91	0.943	structures/output/WWF02580/WWF02580_model.cif
WWF02585	0.85	0.79	0.79	0.893	structures/output/WWF02585/WWF02585_model.cif
WWF02589	0.88	0.88	0.88	0.919	structures/output/WWF02589/WWF02589_model.cif
WWF02592	0.88	0.88	0.88	0.916	structures/output/WWF02592/WWF02592_model.cif
WWF02593	0.84	0.79	0.79	0.872	structures/output/WWF02593/WWF02593_model.cif
WWF02595	0.83	0.82	0.82	0.895	structures/output/WWF02595/WWF02595_model.cif
WWF02598	0.87	0.88	0.88	0.915	structures/output/WWF02598/WWF02598_model.cif
WWF02604	0.82	0.82	0.82	0.899	structures/output/WWF02604/WWF02604_model.cif
WWF02607	0.84	0.81	0.81	0.888	structures/output/WWF02607/WWF02607_model.cif
WWF02608	0.89	0.88	0.88	0.912	structures/output/WWF02608/WWF02608_model.cif
WWF02611	0.84	0.85	0.85	0.907	structures/output/WWF02611/WWF02611_model.cif
WWF02622	0.79	0.83	0.83	0.865	structures/output/WWF02622/WWF02622_model.cif
WWF02630	0.88	0.91	0.91	0.914	structures/output/WWF02630/WWF02630_model.cif
WWF02632	0.86	0.75	0.75	0.768	structures/output/WWF02632/WWF02632_model.cif
WWF02636	0.81	0.76	0.76	0.891	structures/output/WWF02636/WWF02636_model.cif
WWF02640	0.81	0.83	0.83	0.892	structures/output/WWF02640/WWF02640_model.cif
WWF02642	0.81	0.77	0.77	0.86	structures/output/WWF02642/WWF02642_model.cif
WWF02643	0.88	0.89	0.89	0.939	structures/output/WWF02643/WWF02643_model.cif
WWF02649	0.81	0.82	0.82	0.891	structures/output/WWF02649/WWF02649_model.cif
WWF02650	0.86	0.86	0.86	0.895	structures/output/WWF02650/WWF02650_model.cif
WWF02654	0.82	0.85	0.85	0.894	structures/output/WWF02654/WWF02654_model.cif
WWF02657	0.93	0.92	0.92	0.922	structures/output/WWF02657/WWF02657_model.cif
WWF02658	0.87	0.89	0.89	0.918	structures/output/WWF02658/WWF02658_model.cif
WWF02659	0.87	0.88	0.88	0.923	structures/output/WWF02659/WWF02659_model.cif
WWF02660	0.82	0.79	0.79	0.872	structures/output/WWF02660/WWF02660_model.cif
WWF02666	0.87	0.87	0.87	0.907	structures/output/WWF02666/WWF02666_model.cif
WWF02668	0.86	0.89	0.89	0.908	structures/output/WWF02668/WWF02668_model.cif
WWF02673	0.84	0.86	0.86	0.903	structures/output/WWF02673/WWF02673_model.cif
WWF02678	0.84	0.85	0.85	0.906	structures/output/WWF02678/WWF02678_model.cif
